,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
67,South Africa,ZA,,,,-30.56,22.94,1280,confirmed,2020-03-29 00:00:00+00:00
68,South Africa,ZA,,,,-30.56,22.94,1326,confirmed,2020-03-30 00:00:00+00:00
69,South Africa,ZA,,,,-30.56,22.94,1353,confirmed,2020-03-31 00:00:00+00:00
70,South Africa,ZA,,,,-30.56,22.94,1380,confirmed,2020-04-01 00:00:00+00:00
71,South Africa,ZA,,,,-30.56,22.94,1462,confirmed,2020-04-02 00:00:00+00:00
72,South Africa,ZA,,,,-30.56,22.94,1505,confirmed,2020-04-03 00:00:00+00:00
73,South Africa,ZA,,,,-30.56,22.94,1585,confirmed,2020-04-04 00:00:00+00:00
74,South Africa,ZA,,,,-30.56,22.94,1655,confirmed,2020-04-05 00:00:00+00:00
75,South Africa,ZA,,,,-30.56,22.94,1686,confirmed,2020-04-06 00:00:00+00:00
76,South Africa,ZA,,,,-30.56,22.94,1749,confirmed,2020-04-07 00:00:00+00:00
77,South Africa,ZA,,,,-30.56,22.94,1845,confirmed,2020-04-08 00:00:00+00:00
78,South Africa,ZA,,,,-30.56,22.94,1934,confirmed,2020-04-09 00:00:00+00:00
79,South Africa,ZA,,,,-30.56,22.94,2003,confirmed,2020-04-10 00:00:00+00:00
80,South Africa,ZA,,,,-30.56,22.94,2028,confirmed,2020-04-11 00:00:00+00:00
81,South Africa,ZA,,,,-30.56,22.94,2173,confirmed,2020-04-12 00:00:00+00:00
82,South Africa,ZA,,,,-30.56,22.94,2272,confirmed,2020-04-13 00:00:00+00:00
83,South Africa,ZA,,,,-30.56,22.94,2415,confirmed,2020-04-14 00:00:00+00:00
84,South Africa,ZA,,,,-30.56,22.94,2506,confirmed,2020-04-15 00:00:00+00:00
85,South Africa,ZA,,,,-30.56,22.94,2605,confirmed,2020-04-16 00:00:00+00:00
86,South Africa,ZA,,,,-30.56,22.94,2783,confirmed,2020-04-17 00:00:00+00:00
87,South Africa,ZA,,,,-30.56,22.94,3034,confirmed,2020-04-18 00:00:00+00:00
88,South Africa,ZA,,,,-30.56,22.94,3158,confirmed,2020-04-19 00:00:00+00:00
89,South Africa,ZA,,,,-30.56,22.94,3300,confirmed,2020-04-20 00:00:00+00:00
90,South Africa,ZA,,,,-30.56,22.94,3465,confirmed,2020-04-21 00:00:00+00:00
91,South Africa,ZA,,,,-30.56,22.94,3635,confirmed,2020-04-22 00:00:00+00:00
92,South Africa,ZA,,,,-30.56,22.94,3953,confirmed,2020-04-23 00:00:00+00:00
93,South Africa,ZA,,,,-30.56,22.94,4220,confirmed,2020-04-24 00:00:00+00:00
94,South Africa,ZA,,,,-30.56,22.94,4361,confirmed,2020-04-25 00:00:00+00:00
95,South Africa,ZA,,,,-30.56,22.94,4546,confirmed,2020-04-26 00:00:00+00:00
96,South Africa,ZA,,,,-30.56,22.94,4793,confirmed,2020-04-27 00:00:00+00:00
97,South Africa,ZA,,,,-30.56,22.94,4996,confirmed,2020-04-28 00:00:00+00:00
98,South Africa,ZA,,,,-30.56,22.94,5350,confirmed,2020-04-29 00:00:00+00:00
99,South Africa,ZA,,,,-30.56,22.94,5647,confirmed,2020-04-30 00:00:00+00:00
100,South Africa,ZA,,,,-30.56,22.94,5951,confirmed,2020-05-01 00:00:00+00:00
101,South Africa,ZA,,,,-30.56,22.94,6336,confirmed,2020-05-02 00:00:00+00:00
102,South Africa,ZA,,,,-30.56,22.94,6783,confirmed,2020-05-03 00:00:00+00:00
103,South Africa,ZA,,,,-30.56,22.94,7220,confirmed,2020-05-04 00:00:00+00:00
104,South Africa,ZA,,,,-30.56,22.94,7572,confirmed,2020-05-05 00:00:00+00:00
105,South Africa,ZA,,,,-30.56,22.94,7808,confirmed,2020-05-06 00:00:00+00:00
106,South Africa,ZA,,,,-30.56,22.94,8232,confirmed,2020-05-07 00:00:00+00:00
107,South Africa,ZA,,,,-30.56,22.94,8895,confirmed,2020-05-08 00:00:00+00:00
108,South Africa,ZA,,,,-30.56,22.94,9420,confirmed,2020-05-09 00:00:00+00:00
109,South Africa,ZA,,,,-30.56,22.94,10015,confirmed,2020-05-10 00:00:00+00:00
110,South Africa,ZA,,,,-30.56,22.94,10652,confirmed,2020-05-11 00:00:00+00:00
111,South Africa,ZA,,,,-30.56,22.94,11350,confirmed,2020-05-12 00:00:00+00:00
