,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
58,South Africa,,,,,0,0,6336,123,2549,3664,2020-05-02 00:00:00+00:00
59,South Africa,,,,,0,0,6783,131,2549,4103,2020-05-03 00:00:00+00:00
60,South Africa,,,,,0,0,7220,138,2746,4336,2020-05-04 00:00:00+00:00
61,South Africa,,,,,0,0,7572,148,2746,4678,2020-05-05 00:00:00+00:00
62,South Africa,,,,,0,0,7808,153,3153,4502,2020-05-06 00:00:00+00:00
63,South Africa,,,,,0,0,8232,161,3153,4918,2020-05-07 00:00:00+00:00
64,South Africa,,,,,0,0,8895,178,3153,5564,2020-05-08 00:00:00+00:00
65,South Africa,,,,,0,0,9420,186,3983,5251,2020-05-09 00:00:00+00:00
66,South Africa,,,,,0,0,10015,194,4173,5648,2020-05-10 00:00:00+00:00
67,South Africa,,,,,0,0,10652,206,4357,6089,2020-05-11 00:00:00+00:00
68,South Africa,,,,,0,0,11350,206,4357,6787,2020-05-12 00:00:00+00:00
69,South Africa,,,,,0,0,12074,219,4745,7110,2020-05-13 00:00:00+00:00
70,South Africa,,,,,0,0,12739,238,5676,6825,2020-05-14 00:00:00+00:00
71,South Africa,,,,,0,0,13524,247,6083,7194,2020-05-15 00:00:00+00:00
72,South Africa,,,,,0,0,14355,261,6478,7616,2020-05-16 00:00:00+00:00
73,South Africa,,,,,0,0,15515,264,7006,8245,2020-05-17 00:00:00+00:00
74,South Africa,,,,,0,0,16433,286,7298,8849,2020-05-18 00:00:00+00:00
75,South Africa,,,,,0,0,17200,312,7960,8928,2020-05-19 00:00:00+00:00
76,South Africa,,,,,0,0,18003,339,8950,8714,2020-05-20 00:00:00+00:00
77,South Africa,,,,,0,0,19137,369,8950,9818,2020-05-21 00:00:00+00:00
78,South Africa,,,,,0,0,20125,397,10104,9624,2020-05-22 00:00:00+00:00
79,South Africa,,,,,0,0,21343,407,10104,10832,2020-05-23 00:00:00+00:00
80,South Africa,,,,,0,0,22583,429,11100,11054,2020-05-24 00:00:00+00:00
81,South Africa,,,,,0,0,23615,481,11917,11217,2020-05-25 00:00:00+00:00
82,South Africa,,,,,0,0,24264,524,12741,10999,2020-05-26 00:00:00+00:00
83,South Africa,,,,,0,0,25937,552,13451,11934,2020-05-27 00:00:00+00:00
84,South Africa,,,,,0,0,27403,577,14370,12456,2020-05-28 00:00:00+00:00
85,South Africa,,,,,0,0,29240,611,15093,13536,2020-05-29 00:00:00+00:00
86,South Africa,,,,,0,0,30967,643,16116,14208,2020-05-30 00:00:00+00:00
87,South Africa,,,,,0,0,32683,683,16809,15191,2020-05-31 00:00:00+00:00
88,South Africa,,,,,0,0,34357,705,17291,16361,2020-06-01 00:00:00+00:00
89,South Africa,,,,,0,0,35812,755,18313,16744,2020-06-02 00:00:00+00:00
90,South Africa,,,,,0,0,37525,792,19682,17051,2020-06-03 00:00:00+00:00
